ID;اسم الفرع / المنفذ;نوع المرفق;العنوان;رابط الاتجاهات;خط العرض (Latitude);خط الطول (Longitude)
AZ-UF-BR-0126;سبينيس- بيرل دي روا;منفذ بيع;اخر شارع الجامعه الامريكيه بجانب بنك مصر - منفذ بيع اسبينس بيرل دي روا- التجمع الثالث;https://goo.gl/maps/PfknvHxXunu6vrrY8;30.003430100;31.503580200
AZ-UF-BR-0127;سبينيس- سينزو مول;منفذ بيع;طريق القري سينزو مول;https://goo.gl/maps/BsUu8XwrtfHZFAXPA;27.095537500;33.821906700
AZ-UF-BR-0128;سبينيس- معادي;منفذ بيع;شارع 250 , السرايات الغربيه - امام جراند مول المعادى .;https://goo.gl/maps/zzJK2bNZR2SFVS8A7;29.966293400;31.269935200
AZ-UF-BR-0129;سبينيس- مول أرينا;منفذ بيع;مجمع البنوك ، شارع التسعين , اول القاهرة الجديدة .;https://goo.gl/maps/wp2YqwJcDG2ev9H47;30.018422000;31.425482100
AZ-UF-BR-0130;سبينيس- مول العرب;منفذ بيع;ميدان جهينة - السادس من أكتوبر;https://goo.gl/maps/ruGv2iuQv1NCL3FP8;30.006419500;30.971755800
AZ-UF-BR-0131;سبينيس-الدهار;منفذ بيع;شارع النصر عمارة ريتاج بجانب سوبر ماركت سبينس ، سفن ستارز مول ، الدهار ، الغردقة;https://goo.gl/maps/AkFmEJ4qzeFsiGNG8;27.245384200;33.825176200
AZ-UF-BR-0132;سبينيس-السادات;منفذ بيع;سفن ستارز مول- المنطقة الخامسة المحور المركزي - امام منطقة البنوك;https://goo.gl/maps/mjwynBeeV8NHBcC56;30.372577500;30.500195300
AZ-UF-BR-0133;سبينيس-الشروق;منفذ بيع;سيتي بلازا مول-طريق الشهدا - بجوار الجامعة البريطانية وأكاديمية الشروق - الشروق;https://goo.gl/maps/VkVNNBsXX8HqpUBp6;30.114412400;31.606609200
AZ-UF-BR-0134;سبينيس-الهرم;منفذ بيع;46 شارع الهرم - داخل جالاكسي مول - بجوار كريستال مول;https://goo.gl/maps/dDbyDprEDBKArQjC9;29.989353000;31.147084700
AZ-UF-BR-0135;سبينيس-مول طنطا;منفذ بيع;مول طنطا بالمنطقة اللوجيستيه بسبرباي;https://goo.gl/maps/kNrQS2YJi4WaKr2bA;30.841323500;31.017794600
AZ-UF-BR-0136;ستريب واي 6 اكتوبر;فرع أبو عوف;6 اكتوبر المتميز ستريب واي بجانب بلبن;https://maps.app.goo.gl/qCazPZNThzjB6Chd7;29.990263600;30.968207000
AZ-UF-BR-0137;سعودي ماركت – بيفرلي هيلز;منفذ بيع;ستريب مول - بيفرلي هيلز، 6 أكتوبر;https://goo.gl/maps/EmhHbK41KLCvbA7E9;30.055352200;30.942671400
AZ-UF-BR-0138;سعودي ماركت – دريم لاند;منفذ بيع;طريق الواحات، قسم أول 6 أكتوبر،الجيزة;https://goo.gl/maps/XFQd5UpTgDY8VZsw9;29.958551400;31.059835400
AZ-UF-BR-0139;سعودي ماركت – زايد 2000;منفذ بيع;كومباوند زايد 2000، مدخل 9 الشيخ زايد,أكتوبر;https://goo.gl/maps/sBA3Dy4AKEqCakYY9;30.030312500;30.995312500
